Timestamp,Gender,Age,exercise_pre,type_exercise_pre,time_pre,low_intens_pre,social_workout_pre,days_exercise_lock,type_exercise_lock,diff_exercise,time_lock,low_intens_lock,social_workout_lock,motivation_diff,social_circle_exercise,zz,moderate_intens_pre,high_intens_pre,moderate_intens_lock,high_intens_lock,xx,yy
27/04/2021 12.54.26,Kvinde,20,2,"Gåture, Hjemmetræning",2-3 timer,75-100%,0,2,"Gåture, Løb, Holdtræning (fx online, løbeklub, fitnesshold), Hjemmetræning",Det har ikke været det samme,Over 5 timer,75-100%,2,4,Ja,,1-25%,0%,1-25%,0%,,
27/04/2021 12.58.46,Kvinde,42,7,"Gåture, Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,1-25 %,2,4,Gåture,Det har ikke været det samme,2-3 timer,75-100%,2,1,Ja,,75-100%,0%,0%,0%,,
27/04/2021 13.00.43,Mand,24,4,"Gåture, Cykling, Sportsgren (fx. fodbold, atletik, tennis), Klatring",4-5 timer,25-50%,2,3,"Gåture, Cykling",Det har ikke været det samme,2-3 timer,50-75%,1,2,Ja,,25-50%,1-25%,25-50%,0%,,
27/04/2021 13.05.11,Kvinde,50,7,"Gåture, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,25-50%,1,7,Gåture,Det har ikke været det samme,Over 5 timer,75-100%,3,3,Ja,,1-25%,1-25%,0%,0%,,
27/04/2021 13.06.32,Kvinde,50,4,"Gåture, Løb, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,25-50%,3,4,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,3-4 timer,25-50%,3,2,Nej,,25-50%,1-25%,50-75%,,,
27/04/2021 13.10.37,Kvinde,57,4,"Gåture, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",4-5 timer,75-100%,3,4,"Gåture, Sportsgren (fx. fodbold, atletik, tennis)",Det har ikke været det samme,2-3 timer,75-100%,2,2,Ja,,1-25%,1-25%,1-25%,1-25%,,
27/04/2021 13.22.46,Mand,29,6,"Gåture, Løb, Cykling, Styrketræning, Hjemmetræning",Over 5 timer,1-25 %,2,6,"Gåture, Løb, Cykling, Vægttræning, Hjemmetræning",Det har været nogenlunde det sammen,Over 5 timer,1-25%,2,3,Ja,,1-25%,25-50%,1-25%,25-50%,,
27/04/2021 13.41.51,Kvinde,50,5,Styrketræning,4-5 timer,0%,4,4,"Gåture, Vægttræning",Det har ikke været det samme,Over 5 timer,50-75%,1,4,Nej,,75-100%,0%,25-50%,0%,,
27/04/2021 13.42.55,Kvinde,27,4,"Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",Over 5 timer,0%,2,3,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,2-3 timer,50-75%,2,1,Nej,,50-75%,1-25%,1-25%,0%,,
27/04/2021 13.51.20,Mand,49,7,"Gåture, Løb, Styrketræning",4-5 timer,25-50%,3,5,Gåture,Det har ikke været det samme,2-3 timer,75-100%,2,1,Ja,,25-50%,1-25%,1-25%,0%,,
