Timestamp,Gender,Age,exercise_pre,type_exercise_pre,time_pre,low_intens_pre,social_workout_pre,days_exercise_lock,type_exercise_lock,diff_exercise,time_lock,low_intens_lock,social_workout_lock,motivation_diff,social_circle_exercise,zz,moderate_intens_pre,high_intens_pre,moderate_intens_lock,high_intens_lock,xx,yy
28/04/2021 07.30.59,Kvinde,12,5,"Gåture, Løb, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",4-5 timer,25-50%,3,6,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,Over 5 timer,75-100%,3,4,Ja,,50-75%,25-50%,50-75%,50-75%,,
28/04/2021 07.43.54,Kvinde,60,1,Dans,1-2 timer,75-100%,1,1,Gåture,Det har været nogenlunde det sammen,1-2 timer,75-100%,1,3,Nej,,0%,0%,0%,0%,,
28/04/2021 07.50.30,Kvinde,13,3,"Løb, Sportsgren (fx. fodbold, atletik, tennis)",3-4 timer,1-25 %,4,2,"Løb, Holdtræning (fx online, løbeklub, fitnesshold)",Det har været nogenlunde det sammen,3-4 timer,1-25%,4,3,Ja,,25-50%,50-75%,1-25%,50-75%,,
28/04/2021 08.16.43,Kvinde,23,6,"Gåture, Cykling, Hjemmetræning",4-5 timer,75-100%,2,5,"Gåture, Løb, Hjemmetræning",Det har ikke været det samme,4-5 timer,75-100%,3,4,Nej,,1-25%,0%,1-25%,0%,,
28/04/2021 09.03.41,Kvinde,21,4,"Gåture, Løb, Cykling, Styrketræning, Hjemmetræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,1-25 %,1,3,"Gåture, Løb, Cykling, Hjemmetræning",Det har ikke været det samme,3-4 timer,50-75%,1,3,Ja,,50-75%,1-25%,,1-25%,,
28/04/2021 09.38.10,Kvinde,24,6,"Gåture, yoga, Hjemmetræning",3-4 timer,75-100%,0,6,"Gåture, yoga",Det har været det helt samme,3-4 timer,75-100%,0,3,Ja,,1-25%,0%,0%,0%,,
28/04/2021 10.30.16,Kvinde,24,5,"Gåture, Løb",1-2 timer,50-75%,1,5,"Gåture, Løb",Det har været det helt samme,1-2 timer,50-75%,1,3,Nej,,1-25%,0%,1-25%,0%,,
28/04/2021 11.01.03,Kvinde,21,4,"Gåture, Styrketræning",Over 5 timer,25-50%,0,6,"Gåture, Løb, Vægttræning, Hjemmetræning",Det har været nogenlunde det sammen,Over 5 timer,25-50%,1,4,Nej,,25-50%,1-25%,1-25%,25-50%,,
28/04/2021 11.09.52,Mand,23,3,"Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,1-25 %,2,Aldrig,Gåture,Det har ikke været det samme,Under 1 time,75-100%,4,1,Ja,,75-100%,0%,0%,0%,,
28/04/2021 12.27.40,Kvinde,27,5,"Gåture, Cykling",3-4 timer,75-100%,2,3,Gåture,Det har været det helt samme,2-3 timer,75-100%,2,3,Nej,,1-25%,0%,1-25%,0%,,
28/04/2021 12.41.17,Kvinde,19,6,"Gåture, Løb, Cykling, yoga, Hjemmetræning",4-5 timer,25-50%,3,4,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,3-4 timer,1-25%,2,2,Ja,,25-50%,0%,50-75%,0%,,
28/04/2021 12.41.19,Kvinde,19,2,"Gåture, Cykling",Under 1 time,50-75%,4,5,"Gåture, Løb",Det har ikke været det samme,1-2 timer,1-25%,3,4,Nej,,1-25%,0%,25-50%,0%,,
28/04/2021 13.02.54,Kvinde,24,6,"Cykling, Styrketræning, Holdtræning (online, løbeklub, fitnesshold)",4-5 timer,0%,4,2,"Gåture, Løb, Holdtræning (fx online, løbeklub, fitnesshold)",Det har ikke været det samme,1-2 timer,25-50%,4,1,Ja,,1-25%,50-75%,25-50%,0%,,
28/04/2021 13.08.54,Kvinde,50,3,"Gåture, Holdtræning (online, løbeklub, fitnesshold)",3-4 timer,75-100%,2,7,"Gåture, Havearbejde/Byggearbejde",Det har været nogenlunde det sammen,Over 5 timer,75-100%,2,5,Ja,,1-25%,0%,1-25%,0%,,
28/04/2021 13.11.47,Mand,49,4,Styrketræning,4-5 timer,0%,0,1,"Gåture, Cykling",Det har ikke været det samme,Under 1 time,25-50%,4,1,,,75-100%,,25-50%,,,
28/04/2021 13.23.51,Mand,56,4,"Løb, Cykling, yoga",Under 1 time,1-25 %,1,4,"Gåture, Løb, Cykling",Det har været det helt samme,Over 5 timer,1-25%,1,3,Ja,,75-100%,1-25%,75-100%,1-25%,,
28/04/2021 13.49.49,Kvinde,43,5,"Cykling, Holdtræning (online, løbeklub, fitnesshold), Hjemmetræning",3-4 timer,1-25 %,2,6,"Gåture, Hjemmetræning",Det har været nogenlunde det sammen,4-5 timer,50-75%,2,5,Nej,,25-50%,50-75%,,1-25%,,
28/04/2021 14.01.54,Kvinde,45,7,"Gåture, Løb, yoga, Hjemmetræning",Over 5 timer,25-50%,2,7,"Gåture, Løb, Hjemmetræning",Det har været nogenlunde det sammen,Over 5 timer,25-50%,2,3,Ja,,25-50%,0%,25-50%,0%,,
28/04/2021 17.13.15,Mand,23,5,"Gåture, Løb, Cykling, Styrketræning",Over 5 timer,1-25 %,0,7,"Gåture, Løb, Cykling, Hjemmetræning",Det har været nogenlunde det sammen,Over 5 timer,25-50%,1,2,Nej,,25-50%,25-50%,1-25%,25-50%,,
28/04/2021 19.55.18,Kvinde,22,2,"Holdtræning (online, løbeklub, fitnesshold), Pole",1-2 timer,25-50%,4,3,Gåture,Det har ikke været det samme,Under 1 time,75-100%,4,1,Nej,,25-50%,1-25%,0%,0%,,
28/04/2021 20.04.15,Kvinde,37,6,"Gåture, Løb, Cykling, Hjemmetræning",4-5 timer,50-75%,1,7,"Gåture, Løb, Cykling, Hjemmetræning",Det har været det helt samme,4-5 timer,50-75%,1,3,Ja,,1-25%,1-25%,25-50%,1-25%,,
28/04/2021 22.01.47,Mand,32,2,"Gåture, Cykling, Havearbejde/Byggearbejde",2-3 timer,50-75%,3,4,"Cykling, Hjemmetræning",Det har ikke været det samme,1-2 timer,75-100%,2,2,Nej,,50-75%,0%,25-50%,0%,,
29/04/2021 09.05.51,Kvinde,27,2,"Gåture, Løb",1-2 timer,50-75%,2,4,"Gåture, Løb, Vægttræning, Hjemmetræning",Det har ikke været det samme,3-4 timer,25-50%,2,4,Ja,,1-25%,1-25%,1-25%,25-50%,,
29/04/2021 16.11.36,Mand,26,1,"Sportsgren (fx. fodbold, atletik, tennis)",1-2 timer,25-50%,4,5,"Gåture, Løb, Vægttræning, Hjemmetræning",Det har ikke været det samme,3-4 timer,1-25%,2,5,Ja,,25-50%,1-25%,50-75%,1-25%,,
02/05/2021 10.30.18,Mand,20,5,"Cykling, Styrketræning, Sportsgren (fx. fodbold, atletik, tennis)",Over 5 timer,0%,4,2,"Løb, Hjemmetræning",Det har ikke været det samme,1-2 timer,1-25%,1,1,Ja,,50-75%,1-25%,50-75%,1-25%,,
